
MOEZE;869;107
JAU DIGNAC ET LOIRAC;866;111
LA CELLE;864;22
VENSAC;864;261
BELIN BELIET;862;126
ST PONS;861;144
SAUSSAN;861;159
LA COUARDE SUR MER;860;227
FONCINE LE BAS;859;223
LUSSAC;859;4
CAMPAGNE;858;7
ST MAXIMIN;857;17
COURCELLES;857;17
LA GRIPPERIE ST SYMPHORIEN;856;91
ARCES;855;105
ST LEON;855;6
CEAUX;854;180
MONTFAUCON;853;12
LE PONTET;850;62
PAUILLAC;849;41
FORGES;849;9
ST GERMAIN;843;12
ST NAZAIRE;843;98
MARGUERITTES;843;176
SEMUSSAC;843;93
ST MAUR;842;7
LA ROCHELLE;841;49
CARCANS;841;296
STE EULALIE EN BORN;840;254
AUREILHAN;840;111
ROSNAY;839;14
MONTGAILLARD;839;18
CHALAIS;838;10
ST GEORGES DE GREHAIGNE;837;135
ST PIERRE D ENTREMONT;837;12
MONTELS;835;100
ESPARRON;834;11
CHARRON;833;66
YVES;833;64
ST HILAIRE LA FORET;832;155
FLEURY;831;6
HAUTECOUR;831;60
LE CRES;830;138
DOMMARTIN;829;35
GENETS;829;139
LE NOYER;826;4
ST LEONARD;826;118
ARVERT;825;164
CHAPELLE DES BOIS;824;232
ARES;823;239
LA TREMBLADE;823;249
MONT ST MARTIN;822;107
BRIE;821;9
PLAISANCE;820;22
MESCHERS SUR GIRONDE;820;72
GOURDON;819;16
GREZAC;817;97
SALAUNES;817;167
MONTPEYROUX;815;6
ST LAURENT DE LA PREE;815;56
LE CAILAR;813;208
LA BREE LES BAINS;812;236
HAUTS DE BIENNE;811;154
MAILLE;811;24
MONTPEZAT;810;5
MIMIZAN;809;243
LONGEVILLE SUR MER;809;182
ST MESMIN;809;31
BEAUREPAIRE;809;16
BARON;808;11
COUDEVILLE SUR MER;807;201
ROMAGNE;807;17
AVENSAN;804;113
MONTCLAR;802;23
CAROLLES;800;209
THOIRY;800;26
CHERRUEIX;799;175
LA TRINITE;799;56
GRAYAN ET L HOPITAL;798;280
JULLOUVILLE;797;166
VILLARS;796;5
AIGUES VIVES;795;10
ST ROGATIEN;795;66
ARCINS;794;99
RIVEDOUX PLAGE;794;90
MAUBEC;794;23
VAUX SUR MER;793;116
LINXE;793;213
ST MARCAN;792;138
LUE;792;120
MONTRICHER ALBANNE;792;157
